Dataset,Total_time,LLaMA_parsing_time,Drain_parsing_time,Regex_parsing_time,GA,PA,FGA,FTA,Event_count
Apache,55.710936,49.39538799999988,3.43466,0.2019160000001162,0.996536996421563,0.8807957212666897,0.9491525423728816,0.6440677966101694,30.0
BGL,1605.218202,994.6929819995798,289.62232,31.358987000420004,0.926524115138404,0.9188691805536332,0.7814992025518341,0.6602870813397129,309.0
Hadoop,1473.388147,1409.1507460000028,11.860045,2.1061229999974245,0.9786158350602524,0.7857361119599096,0.9453781512605044,0.6512605042016808,240.0
HDFS,2926.794528,368.9076519989046,878.604699,62.12328300109537,0.8229611362728717,0.822952360996943,0.9032258064516128,0.7741935483870968,47.0
HealthApp,3232.643545,907.9231850000014,10.488899,3.903470999997226,0.9930647758411254,0.6671327815286684,0.9367088607594936,0.5759493670886077,160.0
HPC,2097.330557,2032.834945,28.309131,1.0081239999995917,0.8200973050410709,0.9577918453538238,0.6368159203980099,0.5074626865671642,102.0
Linux,2954.200411,2945.234851,1.851439,0.5278029999999224,0.9621671334810418,0.8362944692947619,0.8523206751054854,0.5288326300984527,373.0
Mac,5435.946158,5362.143185000004,8.687895,2.1670509999992937,0.7959407460573799,0.4847777977151744,0.84044233807267,0.4186413902053712,639.0
OpenSSH,365.706694,294.67492500000776,48.318723,2.329837999992195,0.6329069547239442,0.4445329581326777,0.860759493670886,0.7341772151898733,41.0
OpenStack,14626.131349,13885.943441000089,51.069523,0.891928999995347,0.3653242274793866,0.2154677506357401,0.6521739130434783,0.3695652173913044,44.0
Proxifier,79.64276100000001,76.443865,2.263639,0.0343259999999937,0.9736397748592872,0.4394934333958724,0.7272727272727273,0.3636363636363636,9.0
Spark,6096.602433,2038.240920014325,762.483218,166.24294898567513,0.8590420212804672,0.7143687352322226,0.7895791583166333,0.593186372745491,263.0
Thunderbird,16108.424004,9659.774753097468,1382.079114,741.1717789025454,0.7523551289337356,0.3820626687134394,0.8424581005586592,0.4238361266294227,1443.0
Zookeeper,401.173628,381.6481429999999,8.83985,0.2304190000000794,0.9937258492318878,0.9522437494109568,0.9036144578313252,0.6506024096385542,77.0
Average,4104.2080966428575,2886.214927222171,249.1366539285714,72.44985699212265,0.8480644285587441,0.6787513974421796,0.8301000962618714,0.563978479266376,269.7857142857143
