,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
traning_time,69.735,69.281,94.714,411.813,107.724,73.337,89.521,73.775,111.047,499.009,131.456,64.394,142.587,677.227,186.83
parsing_time,1.751,2.713,22.455,501.942,9.444,5.406,2.294,5.702,16.755,537.145,181.218,4.02,35.055,2429.556,268.247
identified_templates,11.0,30.0,37.0,47.0,48.0,76.0,88.0,149.0,239.0,241.0,333.0,308.0,719.0,1241.0,254.786
ground_templates,11.0,30.0,38.0,46.0,48.0,74.0,87.0,156.0,237.0,237.0,319.0,342.0,626.0,1245.0,249.714
GA,1.0,1.0,0.725,1.0,1.0,0.996,0.992,0.994,0.951,0.985,0.896,0.927,0.889,0.902,0.947
PA,1.0,0.995,1.0,1.0,0.99,0.987,0.938,0.978,0.812,0.558,0.822,0.694,0.596,0.558,0.852
FGA,1.0,1.0,0.8,0.968,1.0,0.96,0.983,0.951,0.941,0.925,0.887,0.828,0.83,0.834,0.922
PTA,1.0,0.8,0.838,0.957,0.938,0.737,0.818,0.886,0.686,0.635,0.712,0.617,0.502,0.502,0.759
RTA,1.0,0.8,0.816,0.978,0.938,0.757,0.828,0.846,0.692,0.646,0.743,0.556,0.577,0.5,0.763
FTA,1.0,0.8,0.827,0.968,0.938,0.747,0.823,0.866,0.689,0.64,0.727,0.585,0.537,0.501,0.761
