Dataset,TotalTime,ParsingTime,EvaluteTime,PA,GA,FGA,FTA
Apache,67.82262969017029,67.55767393112183,0.2649557590484619,0.9949978837200354,1.0,1.0,0.8620689655172413
BGL,1558.360144853592,1517.7910323143003,40.56911253929138,0.9864209769218362,0.9580297892949674,0.9046898638426626,0.8532526475037822
Hadoop,860.7110426425934,859.4669427871704,1.2440998554229736,0.9216302856222186,0.97937697577128,0.9621848739495796,0.8361344537815125
HDFS,301.35169410705566,279.63813185691833,21.71356225013733,0.9999840612335172,0.9993716723347784,0.9361702127659574,0.9361702127659574
HealthApp,511.2460103034973,510.2235848903656,1.022425413131714,0.973186624857576,0.98244771509553,0.9526813880126184,0.889589905362776
HPC,573.8790321350098,572.8823306560516,0.99670147895813,0.991725350474897,0.8654125231401807,0.8961038961038962,0.8961038961038962
Linux,1407.3125793933868,1407.0046327114103,0.3079466819763183,0.8798963254044563,0.9841979850340704,0.9283582089552238,0.7582089552238805
Mac,2776.577349185944,2774.794751882553,1.782597303390503,0.6761468987379627,0.921626094064637,0.9041731066460588,0.5811437403400309
OpenSSH,127.26811408996582,126.27299642562866,0.9951176643371582,0.6019732466073086,0.6893028686260363,0.868421052631579,0.6578947368421053
OpenStack,139.72531056404114,139.31616115570068,0.4091494083404541,0.9285225784079524,0.9801090390691224,0.968421052631579,0.7789473684210526
Proxifier,55.504828214645386,55.47535943984985,0.0294687747955322,0.8544090056285178,0.6645872420262664,0.5384615384615385,0.7692307692307692
Spark,1237.789617538452,1130.9685413837433,106.82107615470886,0.9717863950850248,0.9751406474988642,0.8699186991869919,0.7439024390243902
Thunderbird,5203.638500452042,4657.251794576645,546.3867058753967,0.8142855464892396,0.8986240904194107,0.8845416187188339,0.6329113924050633
Average,1140.0912963977228,1084.5110718470353,55.58022455068735,0.8919203983992724,0.9152482032596265,0.8933942701466552,0.7842738063478814
