Dataset,TotalTime,ParsingTime,EvaluteTime,PA,GA,FGA,FTA
Apache,304.9477126598358,304.65042090415955,0.2972917556762695,0.995517334256801,1.0,1.0,0.896551724137931
BGL,4420.036727190018,4378.686678409576,41.35004878044128,0.9880356559476998,0.976224617874052,0.9115853658536583,0.850609756097561
Hadoop,2794.929515838623,2793.636748075485,1.2927677631378174,0.965720889145689,0.9910440961592952,0.9810526315789474,0.8673684210526316
HDFS,688.1751749515533,666.3430483341217,21.83212661743164,0.9999812853809276,0.9993690755694528,0.9032258064516128,0.924731182795699
HealthApp,3008.5196282863617,3007.485472202301,1.034156084060669,0.9575176323248302,0.982419465709954,0.949685534591195,0.8930817610062893
HPC,2236.2739498615265,2235.2547521591187,1.019197702407837,0.9938649450682344,0.8654125231401807,0.8846153846153847,0.935897435897436
Linux,4355.095109939575,4354.765078783035,0.330031156539917,0.8829898415618076,0.9594080515028636,0.9251497005988024,0.7874251497005987
Mac,8960.982340574265,8956.845367908478,4.136972665786743,0.6739238790198776,0.887573020714955,0.8781609195402298,0.574712643678161
OpenSSH,62.1336715221405,61.00778889656067,1.125882625579834,0.6021109732106106,0.7203664779707863,0.8831168831168831,0.7532467532467534
OpenStack,64.87732601165771,64.46340680122375,0.4139192104339599,0.9285418432611544,1.0,1.0,0.7916666666666666
Proxifier,27.027689456939697,27.00462818145752,0.0230612754821777,0.3590525328330206,0.0303939962476547,0.3076923076923076,0.6153846153846153
Spark,674.5807409286499,566.2831737995148,108.29756712913512,0.9715353238175498,0.975371127936425,0.8884381338742393,0.7545638945233266
Thunderbird,3126.3093812465668,2588.636700153351,537.6726810932159,0.7232027115221924,0.7674516745077099,0.8961832061068702,0.6641221374045801
Zookeeper,123.2513370513916,122.93480324745178,0.3165338039398193,0.9985997603435972,1.0,1.0,0.9662921348314608
Average,2203.367164679936,2151.9998619897024,51.3673026902335,0.8600424719781422,0.8682167233809521,0.8863504195728665,0.805403876887408
